{752762,579382}
{-856849,-425869}
{485620,742560}
{274310,540214}
{-492705,-290652}
{-773492,-534914}
{223490,428343}
{232052,546801}
{773240,467652}
{860291,876393}
{137515,629154}
{-124152,-4501}
{-312951,-490121}
{942456,282930}
{421325,775636}
{-810124,-549127}
{-914241,-291116}
{-583510,-523168}
{210772,814907}
{-674179,-675198}
{-240814,-331212}
{-423831,-455364}
{32717,286814}
{-384163,-747770}
{-794322,-687594}
{495132,497717}
{767856,930457}
{468923,513966}
{-235289,-243238}
{-469308,-917417}
{-98218,-158230}
{874782,100561}
{655847,133278}
{-445533,-517441}
{-36648,-830262}
{-884900,-843893}
{-800777,-611749}
{526269,80671}
{-774930,-834460}
{-838498,-822267}
{-95761,-438984}
{-684238,-313766}
{246576,488112}
{-614229,-452144}
{-729651,-488792}
{-532666,-892191}
{-833399,-211466}
{101586,737736}
{883740,512665}
{-909132,-869662}
{370438,965424}
{-989976,-649661}
{-710074,-414736}
{-81949,-28965}
{-489765,-758616}
{-727842,-291282}
{809812,643180}
{-503529,-263265}
{-796418,-147004}
{923766,574635}
{-873380,-945074}
{261978,935049}
{482842,163622}
{-710318,-764071}
{389937,253836}
{-76847,-981678}
{-137449,-791489}
{928018,813518}
{-974820,-609935}
{-15787,-52199}
{-444917,-444078}
{-839469,-224556}
{-402181,-707398}
{-861130,-936215}
{-386042,-844651}
{151070,921499}
{244380,577447}
{499368,23963}
{-17621,-998784}
{682879,14570}
{-959770,-977987}
{663235,335955}
{338747,738136}
{-177881,-117764}
{-299585,-503806}
{675126,173375}
{550843,417755}
{736548,435623}
{-254270,-453244}
{-381926,-654622}
{-80281,-614391}
{704215,796125}
{-71203,-134871}
{-664089,-831252}
{193189,130837}
{-566941,-805963}
{-380689,-875305}
{-253385,-130351}
{668545,384621}
{82486,285047}
{-29498,-365328}
{954498,588042}
{733950,177744}
{-251538,-841833}
{-886890,-35022}
{544547,120462}
{-375579,-501151}
{-142865,-273036}
{345775,460080}
{-520427,-542566}
{-868201,-90564}
{830365,45061}
{-588653,-779011}
{-312,-549048}
{-243224,-435938}
{616972,498984}
{315182,393062}
{888696,535927}
{111060,400201}
{718047,920629}
{-610079,-307328}
{385939,137692}
{-749840,-726345}
{809985,245157}
{-711962,-488381}
{648961,105352}
{743421,939034}
{-339031,-827730}
{-726178,-457289}
{-91902,-175335}
{-193,-303914}
{517548,208352}
{-79963,-476691}
{-939890,-286675}
{-348863,-998637}
{-712274,-166096}
{-574668,-909517}
{348623,767048}
{658505,11724}
{368588,103626}
{-36298,-622320}
{-492837,-139867}
{-605567,-738331}
{444642,678220}
{-47372,-27082}
{138484,257855}
{853448,832523}
{25943,699645}
{26169,358149}
{483684,245237}
{-635033,-281535}
{608796,774373}
{790910,379939}
{449715,343080}
{395196,908953}
{857813,565936}
{-486525,-937883}
{543254,963826}
{-367030,-989995}
{721030,992178}
{660157,145710}
{-740102,-273005}
{-478414,-63914}
{955057,32129}
{628418,427325}
{328861,803637}
{-287159,-808661}
{-114978,-351915}
{-123942,-237444}
{9555,958475}
{-140404,-137130}
{552789,395731}
{-258045,-874146}
{-861741,-347701}
{808516,976120}
{-701242,-304980}
{-641404,-110639}
{-37947,-225617}
{-398316,-868060}
{267179,877615}
{646720,18018}
{171969,570808}
{-970225,-828853}
{-350893,-209092}
{-763691,-17607}
{-122312,-237348}
{284570,878752}
{-255488,-435198}
{-615321,-352014}
{-212597,-619193}
{-286847,-784412}
{16726,474881}
{-142336,-963605}
{142092,314497}
{-8048,-596687}
{-368623,-718999}
{-34177,-522068}
{-328871,-296055}
{-367681,-911376}
{-274550,-642472}
{59033,447818}
{-861535,-464544}
{-753344,-606881}
{474005,267472}
{922258,794020}
{906618,162642}
{609827,715319}
{228786,562689}
{-282943,-930370}
{689115,204919}
{232978,263952}
{561253,643987}
{-882909,-397330}
{168167,389834}
{286423,312091}
{-1364,-218709}
{-953805,-347035}
{-946811,-94320}
{-235872,-377263}
{-954810,-66377}
{-316218,-817855}
{-643944,-379108}
{436214,780516}
{835365,948683}
{501987,753605}
{-481128,-754970}
{141410,227273}
{998513,174083}
{-455302,-928456}
{-323961,-883265}
{434539,717982}
{-809070,-361925}
{827586,798140}
{-761932,-152003}
{86110,653991}
{-722381,-653618}
{-95859,-795029}
{-853372,-312040}
{-186704,-767342}
{415800,609802}
{711273,44341}
{343099,853411}
{-354034,-680996}
{663983,961427}
{441114,47537}
{-971851,-769918}
{-257555,-384277}
{-289033,-237648}
{-13093,-942853}
{-665609,-358652}
{201388,69924}
{-492148,-413023}
{-144832,-285556}
{-595657,-949540}
{716984,390653}
{10800,881003}
{-958235,-138558}
{-219197,-946091}
{-792199,-959184}
{651042,624792}
{-119686,-344679}
{-632672,-836827}
{517567,981659}
{-83457,-95814}
{-129274,-812798}
{-222628,-342097}
{-604400,-300332}
{888947,38028}
{-929642,-830227}
{394689,999768}
{736888,119453}
{667510,270624}
{-11155,-788191}
{-158856,-390148}
{-256096,-519422}
{780988,260550}
{668383,383449}
{212835,272395}
{-703378,-202037}
