{-631211,-18310}
{-888145,816946}
{420950,634535}
{253327,305360}
{457129,-61757}
{-953348,127234}
{-444505,480276}
{237595,-679911}
{470773,833900}
{765580,415636}
{-431856,6990}
{-877800,-32134}
{-915546,-484629}
{56413,-462216}
{-830277,-300108}
{-318927,936678}
{715239,185615}
{976921,704346}
{688421,612458}
{542186,-938148}
{-775482,-363623}
{-71638,851313}
{805329,-488285}
{-686939,950955}
{232539,-919995}
{-774821,-655235}
{854176,66460}
{430784,-372593}
{-464383,-556660}
{599054,956435}
{114892,-47137}
{-388182,722507}
{653162,-385678}
{-785341,409722}
{-308605,-554377}
{517790,-982653}
{-700185,-36693}
{984285,-703620}
{-956347,-901007}
{748850,2247}
{-784514,-866992}
{947338,727869}
{-789895,32329}
{246214,808357}
{-72794,-245636}
{-356676,-674754}
{218513,-176050}
{754771,406372}
{603223,627637}
{-587075,-843502}
{-156251,-721653}
{-409312,348864}
{-893558,-94682}
{-580755,-81756}
{-900694,285129}
{-473103,-713248}
{520362,-663885}
{-214890,521406}
{901716,810605}
{291567,-830133}
{-790968,-435358}
{731250,170990}
{293420,287408}
{703119,-879848}
{860040,849417}
{-51117,964570}
{132380,782360}
{-453142,-609071}
{-574307,134331}
{-598542,-455999}
{316938,-695484}
{262562,-762037}
{119062,-716031}
{500775,641511}
{492773,57101}
{-73362,227023}
{747600,-990224}
{222173,275102}
{-189629,77667}
{-582915,-611792}
{-969657,-909155}
{526921,-622085}
{-11535,2608}
{-382356,-288064}
{627985,-31596}
{724510,-389269}
{314283,403329}
{343639,636174}
{-861442,820725}
{132992,445056}
{-158993,784923}
{195794,708305}
{-351274,-673937}
{565098,545421}
{-85640,-813578}
{-482370,-779574}
{513578,-769174}
{561607,309597}
{-180392,-780450}
{167506,199965}
{747154,-150062}
{492605,228631}
{-162732,-526025}
{10458,-25913}
{905897,-689106}
{-527815,-706604}
{93223,602892}
{12805,-335008}
{713757,-109208}
{-180552,-784608}
{417046,-506887}
{-134729,-470040}
{364885,-545129}
{676348,119405}
{-775784,-67299}
{-562153,67046}
{405876,770}
{-32593,448212}
{-133008,395643}
{-524897,826864}
{543327,-300980}
{-142223,-26244}
{661182,-225094}
{-532849,-17742}
{-986894,43652}
{840890,-506125}
{-483962,241636}
{804449,417140}
{958991,604449}
{-138505,-19219}
{242736,-60019}
{-54952,-232809}
{133273,98331}
{-323824,948062}
{-24722,-335143}
{-295195,-695445}
{-470403,355398}
{-449087,964093}
{655929,-504407}
{620372,-789725}
{-569176,727809}
{11010,-700785}
{-421065,901902}
{306710,-488944}
{934240,423019}
{-774457,-112147}
{929722,659765}
{909270,-822239}
{-856045,371445}
{-262915,458286}
{145156,437238}
{-476033,265978}
{-326021,830597}
{-594608,-49361}
{-596298,592923}
{-195613,-984012}
{2206,-955712}
{-464685,986100}
{-292683,98706}
{-386517,-215987}
{-90681,331514}
{-26327,728118}
{-126999,165190}
{773200,-892770}
{-541657,77525}
{299476,653181}
{-5460,-397874}
{-635072,141513}
{697445,-929541}
{409400,-383395}
{534197,377511}
{216285,-601302}
{-674259,-801282}
{260951,602892}
{-724850,-213887}
{170126,604173}
{865427,628341}
{228370,329725}
{78819,588464}
{533014,571546}
{-387092,218005}
{345789,469954}
{858663,949059}
{-76240,-414858}
{-605444,253493}
{54933,596381}
{-845953,-947356}
{-893110,104738}
{928728,-483743}
{662140,345155}
{-674537,549590}
{365944,210943}
{-7645,-323700}
{-84653,-233329}
{623425,-309571}
{-218085,-833735}
{-255552,-939829}
{-308173,956994}
{616195,733486}
{-989531,-990525}
{445864,-96753}
{-752806,-979622}
{-29266,929764}
{-740501,431163}
{-117973,-432244}
{692973,-927355}
{-414319,809806}
{-642269,438024}
{633055,-137149}
{383358,799089}
{924463,-215475}
{-47847,179515}
{536129,628966}
{37994,56768}
{254160,-374662}
{185404,503060}
{-384461,-241317}
{-275479,-217443}
{-324756,-901904}
{-598055,56923}
{730177,-400284}
{-279209,-738985}
{842126,-948297}
{963332,-882987}
{128564,-634111}
{720208,-159482}
{-321470,-417566}
{-661305,-90707}
{197378,-196651}
{466543,-9955}
{86281,-373197}
{446606,-434403}
{417486,-16211}
{-475566,-701156}
{755580,-235061}
{630210,-845364}
{-853759,-822674}
{-496150,147468}
{827879,-187541}
{-295348,368154}
{-727458,-887526}
{597059,-518559}
{-225901,288021}
{116387,720698}
{175399,327445}
{-894500,-290979}
{-32577,-515363}
{-618965,77757}
{-304881,-67944}
{72462,-254577}
{-377122,-709973}
{194482,500653}
{492542,78429}
{-858510,627919}
{366429,-256010}
{-26798,887314}
{336048,752119}
{60260,-262371}
{67793,967891}
{921515,150655}
{-333640,-319596}
{-635493,120234}
{-609296,-24313}
{265509,-486273}
{-385383,-47065}
{763586,920026}
{318780,-130652}
{-393458,172849}
{-28892,-956247}
{-958460,-184805}
{489724,-722349}
{-157743,875290}
{484011,-25768}
{-268791,-115974}
{870709,-346364}
{-46434,509764}
{-48656,776710}
{579491,-611871}
{207631,-342947}
{-579840,-945499}
{177591,-866946}
{435560,552452}
{748047,88934}
{-936528,-425305}
{583208,-510799}
{-682028,-750413}
{-975389,292031}
{867095,174576}
{727296,-528066}
{-542942,-506123}
{-16331,122467}
{712255,-975042}
{749786,495160}
{-127009,-358470}
{375930,-213123}
{406529,-324709}
{429221,333680}
{451792,-781650}
{434860,939482}
{-970388,479575}
{437362,707484}
{738806,703767}
{753453,-876261}
{823088,-330806}
{572244,261470}
{504288,-10659}
{984236,-123260}
{901663,230294}
{96069,-421894}
{-522231,-468111}
{79548,472665}
{-582339,-191943}
{467956,-697119}
{-533533,-466890}
{694917,509390}
{-711485,454102}
{195962,160929}
{-38654,-30875}
{10409,539338}
