{841479,768147}
{-126660,844499}
{205776,127635}
{-202056,137152}
{-241258,-407641}
{-295110,889829}
{484288,48467}
{-951661,239178}
{-857206,-542993}
{318683,439466}
{-164557,780786}
{165162,-441973}
{527396,926396}
{-812006,-117907}
{157196,545821}
{-877182,-420495}
{-829322,236752}
{-906479,190964}
{-761819,-956148}
{-889687,-370399}
{-284733,276586}
{150016,-911532}
{-597866,-934569}
{760851,727934}
{355550,256676}
{-677903,851563}
{-456388,403700}
{242829,800155}
{589393,-661300}
{-989734,-565121}
{-67181,-62646}
{373251,455203}
{-792265,-509329}
{-196518,465386}
{205600,-517480}
{-161683,-531490}
{-394375,527484}
{284119,-490208}
{629292,-697832}
{380433,-768343}
{383412,-679863}
{-675563,751336}
{532833,366591}
{-104948,-1090}
{-609369,-401932}
{-658177,-281786}
{-963493,-327009}
{-651151,35121}
{410023,-651492}
{-378731,3746}
{-190141,643079}
{-786917,-312913}
{-691242,326771}
{-125483,-155385}
{106674,951401}
{614745,347887}
{220005,628852}
{439205,547299}
{39934,961435}
{-353045,260135}
{26190,912204}
{713964,277648}
{586981,615462}
{734069,-744993}
{-481227,-589809}
{43442,-586776}
{845984,-428727}
{-341057,-761814}
{-794269,-37420}
{-260104,-847369}
{62615,-567310}
{-463178,787757}
{-723147,-901835}
{-551671,-368464}
{555321,115181}
{4553,-782125}
{-69510,825553}
{171612,213698}
{172750,67911}
{-611810,98832}
{270232,-101544}
{-7777,256556}
{-785700,496474}
{285731,107573}
{-135143,721855}
{124545,577982}
{-235059,933225}
{20060,-700325}
{69722,-149193}
{-308877,677596}
{814486,-403328}
{489668,492456}
{481025,968565}
{-668362,902866}
{710939,-750291}
{905146,-58289}
{770984,-570867}
{650231,-692936}
{-459531,-83431}
{162662,92508}
{308697,249257}
{126119,-880481}
{-25211,-605056}
{-118384,-905224}
{907827,6227}
{-761552,541273}
{-350925,-207280}
{237591,-675774}
{879361,-523347}
{595653,-879537}
{-71596,-551220}
{703435,116348}
{488032,-206318}
{858738,507664}
{409294,241750}
{-533232,-193173}
{842555,-455071}
{-157346,96069}
{374697,-937423}
{140730,-207892}
{-694846,396844}
{-680301,763246}
{-656451,254979}
{-922520,120774}
{201670,758779}
{-947451,106458}
{20635,-400278}
{-616151,308627}
{-22380,-864579}
{165477,-310775}
{-669819,530110}
{532405,-394410}
{263727,611591}
{526535,-51823}
{280428,227035}
{97271,726074}
{-796631,-340832}
{255476,-302536}
{254359,36132}
{2029,557837}
{620730,-995434}
{442974,212934}
{536357,656980}
{-531129,-271779}
{492206,326866}
{-819716,709975}
{-499047,-897837}
{695149,285331}
{662100,981642}
{-365020,346975}
{671543,-53504}
{-905509,567430}
{-974893,-700894}
{42197,387181}
{156975,-79318}
{-259189,-205000}
{682413,544862}
{418216,985808}
{932791,-329429}
{401593,-273011}
{309653,171092}
{-384773,930093}
{361789,430870}
{892560,-542267}
{-859510,-659403}
{-15964,922983}
{721521,-305553}
{186268,-18098}
{-552469,884771}
{265963,-515988}
{-342773,767230}
{-619726,-847303}
{-433624,793960}
{-707413,916843}
{-6351,70546}
{800959,207039}
{796334,-327667}
{425172,-727048}
{309011,521776}
{-840773,926472}
{-431281,-242484}
{-474371,-86126}
{-381721,710340}
{282315,-573106}
{-527688,696444}
{-262927,-720804}
{954767,-500675}
{648656,-69936}
{666076,255628}
{990247,-176666}
{535425,-73146}
{804385,933388}
{-65525,-803431}
{571821,418890}
{285312,-840626}
{-865211,569402}
{259981,-227231}
{685284,-140693}
{-290903,75447}
{897092,-464358}
{-157164,328067}
{-310521,-774071}
{185022,-566799}
{-43757,-618518}
{-998230,-553965}
{-249647,-941220}
{-426998,-672837}
{62499,323704}
{-923483,-948648}
{917228,-348336}
{-855915,-189481}
{88334,-721910}
{-172247,288575}
{-489032,-999444}
{-283460,277117}
{846473,-565623}
{771092,-522458}
{273987,-309068}
{-822927,548073}
{825047,-516323}
{-64355,937688}
{71691,506416}
{127909,701110}
{902854,-744337}
{-818002,880764}
{656087,-258889}
{-725379,-908774}
{-595443,66218}
{266993,731685}
{-941037,-693835}
{540134,-43328}
{-698676,-635432}
{91458,645665}
{743025,263557}
{-230014,537327}
{634427,3753}
{-607452,240104}
{-10538,-135933}
{-365882,512158}
{522425,618234}
{-700783,398426}
{686951,430709}
{871314,-260920}
{-571582,925659}
{518612,764520}
{618201,598321}
{-635213,567140}
{-295067,-808519}
{486271,-958157}
{-905928,-608686}
{356901,-319979}
{652780,144514}
{411400,-737540}
{327987,50681}
{1836,639337}
{840195,-329752}
{-173299,-536686}
{195272,-893466}
{51977,517655}
{459082,431646}
{-89703,-937081}
{-60543,-417888}
{642582,877783}
{-23579,-846241}
{-13941,313104}
{-565297,-279886}
{938514,-359029}
{978211,-305075}
{-996859,-4102}
{785415,119781}
{-516214,-947772}
{723597,292169}
{-695438,983750}
{-848842,-396508}
{-579677,-221948}
{583211,-144299}
{806177,637471}
{-607390,-538087}
{273314,700395}
{-798370,-289946}
{116336,-791541}
{55830,-789531}
{-980584,-711893}
{57000,-143863}
{-41591,-491767}
{-57084,291084}
{-34211,-882807}
{502543,-363387}
{446447,-621056}
{861475,-656284}
{422065,924352}
{742868,897741}
{368047,951941}
{937860,-792528}
{271502,841652}
{-366585,-429923}
{-359966,833810}
{980064,-581998}
{-376769,918193}
{611563,-422596}
{-723939,441740}
{654559,670868}
{-946601,-737105}
{-717558,-126218}
{-255004,335962}
{968620,-155695}
{942810,983526}
{926819,-52481}
{-817656,349554}
{-765489,-435274}
{-51440,25274}
{-376405,-883520}
{148518,866478}
{137441,981027}
{-651559,-671622}
{-407671,266133}
{255323,734539}
{-154607,-251400}
{-860692,493544}
{-465166,-387005}
{596545,730822}
{312654,-851236}
{-194898,-579588}
{-765459,346394}
{-979907,560093}
{-769246,340561}
{-606667,904032}
{211168,-685516}
{63018,60198}
{-165184,376883}
{-952790,481151}
{-320691,-257529}
{945478,435112}
{-147614,863159}
{128277,-826113}
{-576726,665658}
{-964966,-533916}
{155788,8731}
{-385770,-345325}
{-872927,525558}
{457475,-51625}
{254842,359370}
{-200472,241064}
{-734111,-935443}
{-151077,-347724}
{-935656,452442}
{883338,64885}
{437620,93166}
{551113,500184}
{-96573,189073}
{82036,592743}
{-855360,33721}
{553042,831802}
{256400,-328622}
{600510,933000}
{-983950,-451724}
{-689456,-859516}
{366960,601574}
{515726,-783642}
{278000,377521}
{-198808,-319738}
{12066,-113445}
{560366,687705}
{-591110,-116376}
{128334,103593}
{-61480,-462790}
{-936482,948291}
{-582294,45522}
{53633,-754810}
{569119,-715275}
{-951698,710800}
{60906,-860372}
{321567,-203034}
{187630,960253}
{-949256,-338593}
{-271353,831151}
{304874,427685}
{-9712,-521978}
{-545938,-541216}
{-578452,314583}
{-884051,801566}
{220441,714291}
{-707360,-738244}
{992498,-822199}
{192352,-171364}
{-392842,681974}
{444618,582622}
{-661775,-441589}
{451821,173003}
{41971,878957}
{-977177,-765043}
{-705094,-785544}
{-355623,618010}
{-687249,724243}
{-560171,-191936}
{-722569,-323268}
{-913678,883651}
{-902065,741980}
{898307,885913}
{-612763,-19346}
{-183862,-753850}
{-974339,-39977}
{-821956,-793454}
{-383937,-755912}
{649992,-771763}
{920669,468295}
{539264,459374}
{62661,638911}
{634576,-636135}
{-907852,180421}
{-945024,792830}
{127595,-145073}
{-225302,-848142}
{949078,1943}
{-189142,-158866}
{458537,16826}
{709037,739025}
{-366071,-346694}
{411820,-677053}
{243763,835501}
{-775962,-133534}
{-518577,731880}
{633794,-478022}
{207022,222442}
{703308,-51446}
{917913,-417472}
{574663,906147}
{435150,-805990}
{943789,-454650}
{-112000,688584}
{114273,875124}
{216951,274354}
{96032,508137}
{242440,-862176}
{-57131,672528}
{-28468,221892}
{973540,953121}
{418569,868333}
{-845308,891138}
{359521,501017}
{9790,469497}
{-971761,587834}
{618494,39673}
{-775878,-137717}
{-975107,353456}
{-251041,-445017}
{965245,677108}
{-538644,-780319}
{705778,-800666}
{618487,224929}
{-685859,402442}
{44667,-211154}
{-149497,-450447}
{304898,533886}
{268617,-631906}
{426117,874196}
{699039,327931}
{581859,73005}
{-854462,-247953}
{-534107,-955901}
{60716,602641}
{-820312,191254}
{-384519,-414689}
{-272383,461029}
{-482244,-807446}
{-378820,368819}
{874399,-169409}
{112878,-610608}
{-50156,-94706}
{386774,514895}
{627619,618928}
{736968,389922}
{387417,320313}
{-114818,555016}
{342902,916221}
{-368234,-666373}
{777075,-844357}
{-47038,972142}
{807334,-611658}
{189525,-800512}
{-235947,898677}
{365454,-858481}
{178117,-682636}
{338527,-520240}
{-110087,-316449}
{-242346,868782}
{398159,-630980}
{519,-683126}
{589314,-105730}
{553994,-181622}
{-775910,-315461}
{-213266,-267036}
{-718796,517477}
{390575,-529321}
{-903698,-894918}
{-628790,-177681}
{196843,691370}
{284620,-1448}
{255749,-693465}
{-671110,829367}
{62485,-869547}
{288600,-760294}
{-77666,652012}
{-788752,443058}
{-150102,736433}
{44417,-13750}
{-573289,806180}
{704715,-634304}
{537888,-257259}
{421216,-537285}
{-709763,-723837}
{537489,484110}
{-338320,-640813}
{995422,-201403}
{-917277,-850108}
{198627,426189}
{-25259,563002}
{219501,463856}
{-808083,946278}
{-873086,-70160}
{-206427,-112641}
{-921035,326057}
{358626,497300}
{179074,-293767}
{643936,-169307}
{-994055,829700}
{-857854,-703206}
{-761863,-979343}
{521338,207137}
{-924528,799182}
{709358,877405}
{-738469,611264}
{64938,282840}
{450732,-416627}
{-925516,558023}
{-411698,-174166}
{147847,893907}
{-914497,-911026}
{-508068,30784}
{-996600,665940}
{-459617,157529}
{-98318,737433}
{-730988,-229710}
{-869819,-112719}
{-785180,-127039}
{-218212,-842030}
{826495,9815}
{-551861,921632}
{661534,958826}
{-690316,-783686}
{510213,600988}
{935773,916198}
{-757332,939128}
{-81301,738823}
{690971,767890}
{-461392,291308}
{287180,882778}
{946393,-435799}
{716859,873636}
{-305992,892082}
{-833070,75867}
{-649366,377665}
{-118826,-620166}
{-353574,-221642}
{-680108,173749}
{-326382,638603}
{-683333,-214370}
{302071,-571149}
{-493159,605010}
{498704,-38358}
{646729,-197747}
{-606998,196555}
{560809,469103}
{979852,-448930}
{138443,171009}
{-325249,131153}
{389173,997932}
{-237337,-23906}
{213314,921367}
{-678042,-144415}
{-488226,-644540}
{-239722,-168261}
{793768,855680}
{599927,455925}
{-241495,-913975}
{8645,-881397}
{-678034,560770}
{-439184,113425}
{837202,-432487}
{-888434,-492089}
{-458517,-319717}
{371599,566042}
{-747998,128924}
{-936397,497102}
{-331583,489004}
{-281556,735176}
{-915893,-751180}
{286909,523525}
{628035,840868}
{137383,168226}
{-923925,679023}
{825971,-993250}
{752495,965320}
{-640181,189807}
{386657,397397}
{-221254,455991}
{-801163,-885922}
{740767,860926}
{869799,-43510}
{-716072,371822}
{-74510,-539616}
{37635,307762}
{188909,-616358}
{-144580,-777951}
{-406205,-402788}
{-755020,330161}
{322161,320586}
{-447429,543799}
{548048,-755130}
{331337,46974}
{286550,-967408}
{772679,413872}
{446229,325855}
{-117372,826066}
{-548187,33265}
{357559,-517556}
{-178977,-528290}
{-854077,67558}
{757096,-608756}
{-817323,-708658}
{876287,464800}
{-727529,470191}
{-474516,-271331}
{599019,256182}
{98571,-325309}
{878235,130273}
{464832,683604}
{798656,545706}
{463773,187100}
{-856869,-467017}
{679247,-681960}
{564234,574761}
{-241112,-652451}
{-329937,-273176}
{-558753,-595423}
{-867540,550850}
{-707132,-559613}
{-432239,895385}
{801977,908251}
{-33984,66013}
{901581,431442}
{-19687,-63285}
{-179896,972848}
{318335,415747}
{-817145,-107965}
{520489,-879369}
{99193,-725674}
{-789129,963773}
{28650,477725}
{-618331,-663777}
{718217,-364162}
{197319,-99016}
{-792268,-782346}
{-728832,-672221}
{486331,516701}
{-708081,521668}
{875688,-822068}
{-540403,810745}
{-677966,-332170}
{-991815,926747}
{638168,133837}
{889306,232023}
{-722453,-688095}
{-229197,204263}
{-209155,-117403}
{67672,45175}
{-621554,657921}
{808532,-915949}
{-293758,-850698}
{374344,595699}
{349943,-564328}
{12055,202525}
{-831920,526266}
{-285074,-682228}
{-467286,-38494}
{924815,-759515}
{-41228,957135}
{211431,30867}
{-873626,659015}
{-400785,-143889}
{-218466,650796}
{760095,928668}
{191671,21696}
{-958604,-853558}
{428422,-933903}
{-882025,-719728}
{596964,678329}
{277280,748952}
{-492372,-517785}
{-769770,998347}
{-932114,-596425}
{-838254,890549}
{779175,-943528}
{-826220,972348}
{78995,939431}
{472894,889020}
{125128,736232}
{-371756,374837}
{273121,-713086}
{939744,-415048}
{-983583,-935616}
{58829,751484}
{-558638,-12599}
{897796,515297}
{-826924,-954820}
{-504606,-539548}
{-819417,-926100}
{-411765,-515077}
{-736723,205149}
{877154,-451876}
{166046,985823}
{884595,123763}
{-789647,947196}
{926738,-108978}
{776375,60812}
{-413224,-583487}
{63580,463998}
{-263767,-895026}
{-898849,12153}
{900467,-531959}
{732998,-21363}
{-484397,-961388}
{720918,967411}
{116588,-321087}
{858032,-639403}
{219457,-70111}
{-933775,938748}
{-255180,561352}
{986861,-684912}
{750056,769028}
{-186998,-123614}
{-287335,520754}
{-229785,-304165}
{694584,-86047}
{-493540,499598}
{532501,-773898}
{162165,509117}
{-142107,901694}
{-14583,669690}
{988508,-484284}
{869100,-704533}
{681225,-229041}
{-852375,960484}
{789589,904236}
{230189,-900974}
{-209996,256899}
{-346473,-563497}
{-635532,71771}
{354729,586815}
{85383,729217}
{-544494,841132}
{-461080,841335}
{714218,619063}
{544974,185792}
{-321050,-744926}
{-834068,979713}
{111500,743249}
{-900882,-690140}
{717665,-816458}
{313637,-388513}
{-918600,-989067}
{-402037,392019}
{-479645,198167}
{990641,-539508}
{-262906,336022}
{-792222,127663}
{-75932,-207129}
{-638911,-454422}
{-640217,58082}
{655346,-802339}
{-624044,967203}
{-696885,-235323}
{307967,642079}
{-116006,-128573}
{-750861,618506}
{-968344,-984281}
{553415,-687812}
{529462,862250}
{9154,768190}
{-854663,-702830}
{-93357,-781317}
{-670148,-919802}
{-282590,847778}
{648234,896492}
{911419,-928908}
{592952,-112885}
{-139109,345145}
{-403086,674900}
{429881,-224307}
{921604,558035}
{719415,492126}
{-274869,87796}
{-491420,-145667}
{844861,204977}
{658126,14739}
{116595,76154}
{182853,683503}
{481569,345648}
{165849,87131}
{-263390,664004}
{228631,-357680}
{586722,-575960}
{631279,824559}
{-798837,331349}
{238173,-123144}
{-774889,-957724}
{-343565,418454}
{256782,398763}
{892129,-77403}
{356099,-242197}
{-762561,253752}
{4467,580085}
{-118452,-480881}
{209019,352578}
{-520458,-678038}
{-853491,781152}
{-870243,261468}
{-548916,-732219}
{-88920,-428371}
{-89571,854527}
{748683,-101364}
{-292511,-28785}
{-743475,-627208}
{820623,-379582}
{303913,435706}
{663216,-719804}
{-672395,364023}
{675130,488488}
{-72456,900014}
{-562295,733434}
{672622,939733}
{-287500,221108}
{-478864,-481240}
{343237,931215}
{867718,814596}
{-550785,3657}
{-411436,543706}
{869470,797999}
{637781,-72333}
{-575544,35192}
{-468754,-233486}
{-235975,864622}
{-978437,-683538}
{500801,189461}
{627866,-922966}
{-10307,-557925}
{495693,-91868}
{442199,-644144}
{161992,759943}
{-560830,538659}
{340781,105487}
{-427892,790817}
{-546615,71591}
{-953245,242009}
{296772,-38672}
{979437,-686923}
{597446,-576396}
{626928,216041}
{-337251,-364788}
{-616477,857899}
{387885,-238513}
{77504,-827065}
{332898,150246}
{-585553,490762}
{-321033,-859773}
{182212,-952669}
{-397342,-840105}
{-991561,213909}
{-145992,-757574}
{451443,-634772}
{-487374,133673}
{-140686,-292923}
{-210092,-928180}
{-747010,-467266}
{-716803,-195169}
{-523872,606308}
{898499,411860}
{467018,171280}
{831650,64317}
{966388,-952555}
{-28436,124282}
{-798580,438296}
{-417417,223745}
{79541,129652}
{193933,846480}
{-588144,170842}
{359712,-910629}
{-629399,-539578}
{-780916,470279}
{292407,94878}
{-579039,688113}
{667176,155119}
{877777,77558}
{-537858,-404212}
{2059,-742169}
{733523,-326292}
{982606,-612433}
{-223645,503337}
{-62933,979765}
{-527713,146715}
{136482,389908}
{472674,90409}
{-664460,-624691}
{632824,-430919}
{-266052,408941}
{-306161,-292382}
{140725,136201}
{-925529,110926}
{25690,254851}
{331954,-491597}
{177838,-431394}
{-104268,-463089}
{-942664,860018}
{-302807,-136418}
{461544,148970}
{-592536,-967584}
{-797730,116589}
{567694,681595}
{-761472,-111691}
{493801,754560}
{-965311,-685289}
{322475,-748649}
{-131326,208090}
{194514,860587}
{398107,-158926}
{-622361,266831}
{953510,286571}
{953304,402273}
{-211205,-705230}
{-946269,-354698}
{869997,838455}
{738462,575254}
{676216,-139368}
{93199,-200908}
{303222,-531017}
{565608,-212137}
{-539352,-828993}
{-889745,-81713}
{-264977,861251}
{-619208,-177006}
{726182,630999}
{-759573,-903089}
{-356384,-837819}
{885896,-217303}
{-485822,-910867}
{748485,690806}
{-949746,53899}
{-25559,-901375}
{-65779,-608122}
{401278,406646}
{-982315,716652}
{294420,293456}
{498750,192806}
{-233900,-297696}
{-954169,-789597}
{-101000,-768468}
{741844,-510630}
{924799,-937783}
{680240,775323}
{-106889,-791900}
{828600,889873}
{-386817,283144}
{-576163,357712}
{282211,362441}
{-539768,-204176}
{-308846,-890178}
{314892,-743}
{289777,-64419}
{295847,-217874}
{178859,-60648}
{-573759,-432184}
{100038,398524}
{-704694,-141370}
{-781658,39623}
{-734047,-555330}
{351508,179198}
{-611039,367019}
{898091,-63418}
{-401526,-364817}
{327225,178368}
{403040,82457}
{-869785,318246}
{-680947,183152}
{-48822,198310}
{759423,968259}
{511495,-684860}
{-564278,-451583}
{-331517,-960421}
{949689,956254}
{-201958,-978803}
{703573,-915360}
{42804,930756}
{-678998,-496738}
{-967689,-659012}
{749774,-978968}
{-740546,852847}
{-19264,65206}
{-639098,-104127}
{724463,132064}
{-651656,606493}
{998832,-558145}
{-803328,-53984}
{327752,671391}
{-490839,795531}
{370336,-768325}
{-423245,-389104}
{928937,433474}
{-102487,-429745}
{-661698,586338}
{-242045,-55125}
{191773,-675094}
{-769252,-748214}
{-849861,-186021}
{-425988,939312}
{614792,454016}
{931253,-337097}
{427148,-613473}
{600756,275989}
{-395113,-512140}
{940207,-340952}
{-813890,100170}
{-620597,113301}
{-930767,-471167}
{6575,-10466}
{768697,-621416}
{811037,198981}
{366987,889015}
{-8473,134258}
{-275438,-580740}
{-792410,649922}
{-298356,-622194}
{966351,-257153}
{293598,659999}
{-812974,310785}
{607099,5653}
{-466764,-956435}
{-892840,-156735}
{749714,-445423}
{-964745,389999}
{737276,703141}
{-562720,-135508}
{-259117,74153}
{-201590,-518787}
{-738217,929055}
{530894,-353303}
{-410946,-365675}
{-903342,825284}
{921326,-189990}
{928563,-378238}
{-808791,-572396}
{-50696,-197234}
{-84903,456968}
{249077,-451903}
{645996,-72711}
{-610251,-189954}
{463418,534120}
{742442,-616660}
{-883248,598611}
{-317236,759856}
{477632,573435}
{64092,905231}
{-879914,259426}
{394435,21739}
{-866324,805333}
