{276110,-958760}
{495753,197243}
{-729611,986165}
{-345720,194239}
{-570212,-46638}
{290198,813606}
{-594342,-464947}
{772662,557318}
{-438193,720972}
{163412,-145616}
{487446,-699213}
{-854982,-545093}
{-841730,928531}
{-282598,719363}
{-405066,75156}
{-812797,-744998}
{-185550,-703435}
{421183,-760485}
{-499330,741795}
{-871648,-298005}
{915617,363804}
{5670,-75154}
{304475,-106962}
{-819783,-886761}
{-354928,-391294}
{957746,-203239}
{648474,-848386}
{-268920,751998}
{-409925,382751}
{235967,-826332}
{645214,-176213}
{-303753,-988829}
{690168,-953292}
{-568900,-141986}
{-620064,255994}
{-655262,-73519}
{679292,-480782}
{951174,-492700}
{-277405,-579883}
{768886,758340}
{985833,-143964}
{-386661,290606}
{-794823,-414207}
{-591591,-33770}
{980996,704640}
{377163,47055}
{384753,754226}
{232647,-649691}
{-261195,-291712}
{-598105,-173079}
{647417,-361511}
{112010,-28388}
{465331,543674}
{-448868,15560}
{736166,-505758}
{-319350,705792}
{467603,-228400}
{579821,458635}
{25763,984745}
{-252425,749279}
{-264661,-597248}
{-402180,65648}
{419593,144157}
{-763854,-319488}
{847453,815663}
{504866,691510}
{-131441,705403}
{207887,138620}
{-784633,704576}
{385675,362157}
{-378628,544211}
{874762,-892437}
{-967087,186486}
{19395,-521081}
{72749,571702}
{718164,-753184}
{483189,208107}
{-746482,674132}
{113576,786091}
{-637540,229051}
{-423626,-76578}
{-812033,630857}
{-342642,-165418}
{-949881,82100}
{413360,820433}
{415970,803451}
{268404,36383}
{-305068,-510570}
{-717971,-208713}
{703307,-933285}
{560629,-662252}
{-572802,-462077}
{-71557,664503}
{-295572,-535573}
{94493,988421}
{392889,165253}
{-604638,-677862}
{-732037,909391}
{-746847,-803174}
{834493,342809}
{66259,912077}
{993765,-962807}
{575103,6318}
{450217,-597352}
{64037,-399797}
{-404859,-607238}
{399328,-508353}
{-712661,-658369}
{376973,659250}
{55092,495994}
{91782,-598188}
{710882,633852}
{989252,607992}
{861335,-64315}
{662640,12981}
{-460829,672719}
{241795,-245538}
{-472525,445583}
{762343,624806}
{-276308,285143}
{810806,-178169}
{-145363,-451302}
{852151,701803}
{135633,669282}
{224990,-711316}
{-174851,-298820}
{237667,-447417}
{700783,-816533}
{662694,702227}
{755685,653059}
{136311,-957815}
{247883,-686372}
{-60414,207386}
{-110083,209458}
{-948332,898724}
{-944934,-160701}
{228457,-452682}
{534956,628977}
{460603,-461710}
{-213886,218357}
{-101267,-546565}
{-968948,596100}
{449896,-84891}
{-728580,-520955}
{145519,-978178}
{597878,-870241}
{-193944,-803965}
{-35530,-719130}
{-485063,-385148}
{577215,-889789}
{994571,-940440}
{-738772,235685}
{-472030,-83264}
{-821017,165386}
{322453,-941291}
{28670,13281}
{-963113,4742}
{-898176,85936}
{-906209,171394}
{-43268,-566269}
{-620942,622205}
{-121536,456918}
{-275441,320473}
{-95626,-854844}
{769182,636064}
{-791115,78602}
{303874,379302}
{175575,-899440}
{-595104,756974}
{-827734,-197628}
{-167598,444285}
{-407353,-358962}
{-195712,843892}
{754026,721148}
{-209489,-442041}
{-46020,-218580}
{381623,913262}
{226445,-831031}
{-665990,694267}
{92942,-249877}
{-85254,-312479}
{571761,934178}
{-652576,203313}
{236197,376718}
{-915948,345676}
{919369,-573434}
{489020,-177201}
{-839430,907615}
{76345,282462}
{-290718,947855}
{-111357,160388}
{-91561,483874}
{-345585,186899}
{-43254,-887311}
{-65032,632735}
{-528589,-347644}
{797441,771539}
{883745,549952}
{-907560,379654}
{-284445,525128}
{-730076,931982}
{27858,-824103}
{-402303,515852}
{-515685,-572824}
{-530601,-919784}
{100754,-927946}
{-735573,525934}
{-689627,687046}
{318587,711532}
{956820,-476334}
{-29470,-808514}
{892681,-895280}
{281198,-874625}
{321796,427264}
{628668,-114385}
{41258,-774996}
{938958,-743289}
{-59159,773399}
{-248807,-152284}
{518747,-601767}
{899625,-700396}
{-797460,-315787}
{599357,781421}
{-750103,-37458}
{561442,621836}
{-37368,227730}
{14144,464661}
