{-756816,619986}
{142363,-419336}
{-276836,-791698}
{868347,735966}
{885250,50095}
{247379,-184987}
{-309300,977875}
{-138877,562175}
{-652933,693037}
{787268,685811}
{-968557,981832}
{956377,-128828}
{909791,952767}
{886155,-869164}
{299397,-510673}
{-972405,370967}
{-773508,976132}
{731875,143378}
{-657951,-55833}
{-361505,974453}
{-400583,465464}
{-583472,692}
{181665,-358142}
{102711,334905}
{-348611,955494}
{-491479,299415}
{-261079,-282255}
{-95407,-930880}
{-220925,819728}
{249470,724265}
{368783,-140702}
{-848515,-384712}
{305144,-796110}
{476076,464551}
{487772,878240}
{40512,116168}
{242460,584334}
{311813,960064}
{909505,707589}
{-576374,-473643}
{-951006,-196639}
{-883776,-682737}
{444994,-991726}
{407093,-783944}
{599288,-141483}
{-713875,628696}
{-720812,-418396}
{947084,697202}
{161790,-362170}
{-73529,-454112}
{-642881,41029}
{590729,699526}
{230248,138116}
{979555,-86000}
{621595,516051}
{-914934,-503766}
{107093,-159288}
{947841,-736145}
{-96235,-640694}
{-157644,-432479}
{218227,-850515}
{-855906,-416647}
{-477910,83176}
{-145949,-988067}
{-971378,989164}
{797753,28438}
{-539481,136450}
{527852,603517}
{-658023,943861}
{427546,509927}
{-811704,335298}
{698545,-247694}
{-507718,-626140}
{999164,-754957}
{842210,-754269}
{-978835,116140}
{-848816,-150784}
{457506,-218816}
{772314,-745361}
{914478,-696279}
{-748411,-246166}
{-495496,-804718}
{-411029,-226266}
{-472270,-26720}
{-439405,-634446}
{875215,-166119}
{962874,-155384}
{423034,-299547}
{692581,-437518}
{583834,562781}
{356720,903226}
{168451,668575}
{144448,-23265}
{-711780,-704189}
{-619363,-552004}
{229736,-250840}
{-952762,-147392}
{967593,-568457}
{17718,-671802}
{-438626,-312524}
{198894,639736}
{-43672,622326}
{721998,-223931}
{581379,-392549}
{681628,589235}
{-287112,10532}
{-147873,527998}
{578209,206573}
{-694810,243275}
{708733,-401517}
{76928,-419462}
{618718,-710947}
{-388951,505064}
{976373,499393}
{-234929,-229245}
{386412,627239}
{-319125,-819704}
{736114,-495587}
{402166,989849}
{-245560,358228}
{-519476,829074}
{897388,138593}
{-392857,-463953}
{-840655,-378990}
{-961706,-224637}
{975413,66359}
{153772,435461}
{794002,-70842}
{693980,327825}
{783881,-760682}
{352756,-993006}
{-834325,-871690}
{126187,49347}
{853550,516178}
{690414,443653}
{782327,316392}
{-969909,586172}
{110635,-449026}
{89986,-693800}
{-851026,-757340}
{698815,597312}
{-922393,-78185}
{102127,615722}
{-591831,-879259}
{-576331,834028}
{-849282,-705855}
{762084,-900577}
{483643,108821}
{-983102,253321}
{856622,-36800}
{-408842,-361701}
{103134,-599411}
{-224888,921929}
{-753491,531936}
{-27437,-165682}
{-608928,-730537}
{-17635,16022}
{-833864,870004}
{742343,-761878}
{-991163,-80440}
{313226,808719}
{630152,-619290}
{-291665,724168}
{-577975,11121}
{438562,-506865}
{-116965,552131}
{127071,741784}
{712296,-852783}
{-343093,129236}
{39153,667833}
{-51998,268410}
{365203,262582}
{343674,-631690}
{-183314,-356945}
{534827,947119}
{439453,791143}
{-498401,792789}
{-705905,386872}
{-889620,424874}
{453313,-95587}
{-493902,776125}
{429596,-506100}
{-750299,211545}
{-290118,9295}
{-960066,844572}
{-781205,942372}
{886727,-444146}
{-573201,-655526}
{785509,262817}
{-564720,698027}
{-777634,541768}
{949258,-893269}
{353147,-93792}
{969285,-323674}
{403410,714549}
{-344552,-562213}
{320224,-863665}
{630946,-718462}
{-508261,-994831}
{-329792,885342}
{625940,-854289}
{-15297,-488233}
{-982782,-432317}
{609855,975895}
{338058,333521}
{438249,-377584}
{349211,-922528}
{-779013,-880441}
{-305502,555674}
{949690,776506}
{283687,778305}
{721851,-823620}
{630756,-65911}
{246122,52513}
{-852909,-792835}
{301409,592372}
{-445002,-446209}
{191952,327162}
{-468535,-887680}
{-378164,287293}
{-386938,-633423}
{-315199,-746892}
{-697976,-837027}
{-731500,124794}
{577444,571193}
{-830717,282033}
{40820,8136}
{-399510,-464903}
{648633,-456507}
{-302761,-168937}
{261624,-518620}
{-435362,688125}
{251416,819200}
{-194670,899883}
{-789444,172974}
{-721947,493901}
{-773202,-371410}
{-190804,113698}
{546312,445552}
{-312731,-512979}
{911493,164778}
{951911,860153}
{491179,448807}
{-708002,-620705}
{-930114,-75666}
{-569461,573346}
{-340182,-134445}
{189572,217060}
{16600,-244225}
{483499,-228364}
{174502,224802}
{-656877,363708}
{393120,-226406}
{147237,596853}
{-374147,658833}
{415720,220281}
{-294730,919331}
{-605883,271406}
{861864,699889}
{378714,624229}
{539969,252913}
{-205885,-211624}
{-99562,180750}
{783349,-466102}
{-384037,-374807}
{570125,807305}
{179419,950728}
{607788,-848466}
{981089,353461}
{-469644,-767006}
{472541,121487}
{-867286,-370967}
{10019,-796742}
{428985,-530631}
{148237,-685037}
{93312,903781}
{-671880,779874}
{-377825,266229}
{531633,624755}
{-12304,-687241}
{-259994,639467}
{606527,-815883}
{-169955,-510788}
{589919,374667}
{-708808,-440322}
{-219919,455499}
{-131265,-668971}
{-112974,684393}
{840193,98946}
{12455,-719982}
{-971246,-482677}
{682336,859962}
{11884,514775}
{43832,-983357}
{87526,837167}
{-527037,-91967}
{-363917,-850947}
{142740,-595782}
{-357195,193649}
{935803,467672}
{-390893,-697990}
{989720,-128322}
{370671,-277745}
{5547,820435}
{-597625,-782837}
{-279307,-372850}
{-975577,-713031}
{138609,-896064}
{200149,1225}
{-312398,267114}
{132036,136275}
{951571,-544047}
{-146590,-808061}
{742501,-580899}
{265909,666454}
{993133,971019}
{675070,-383149}
{-138790,226036}
{-713622,926910}
{837521,732887}
{-834839,928509}
{240357,-332414}
{840336,-429283}
{-79883,-545248}
{-928043,297920}
{-615659,856159}
{923266,-31471}
{-809523,-263397}
{-342304,258698}
{-219811,607426}
{108478,930614}
{-992508,980314}
{441258,-505882}
{-839188,-941696}
{-700607,523240}
{-774523,-672989}
{497041,217986}
{-559797,-813998}
{417618,893636}
{-738973,-849175}
{-670682,792645}
{-754096,-790822}
{-226005,-483331}
{619197,635854}
{125005,-870089}
{716251,871577}
{-947197,-62493}
{-157660,-421897}
{-785224,375209}
{948882,31020}
{998592,-693915}
{-707671,-252525}
{702108,35977}
{843699,70727}
{672766,514063}
{-563388,-177266}
{-669001,443428}
{237006,829769}
{507300,-853386}
{-371950,84644}
{265523,-529416}
{546676,418616}
{-770362,568367}
{-905637,237858}
{335107,-748019}
{-674235,-326210}
{-138468,433503}
{-322505,139974}
{157268,734249}
{-306531,441885}
{122541,-966141}
{-311382,-639815}
{-922285,737102}
{2618,-815052}
{761407,207002}
{-803700,708939}
{-534866,-183411}
{633051,473789}
{-672546,820770}
{680927,148917}
{885416,199729}
{467830,66118}
{-300333,868646}
{138596,-65001}
{57771,70358}
{910708,-964914}
{-502575,85680}
{764766,-305212}
{-157615,56713}
{-556721,410179}
{432951,-961088}
{374908,282008}
{-311499,-123501}
{896513,842459}
{-392597,619589}
{199735,326043}
{-948242,19793}
{542587,-880517}
{-708796,-65583}
{386191,-34882}
{218457,956896}
{765298,551057}
{-245991,-352255}
{-613945,321575}
{-98053,-104148}
{-289839,653176}
{344767,119338}
{-103349,984146}
{-831104,-955277}
{-258893,-791294}
{-713977,469110}
{340346,445606}
{-650553,-634537}
{-571417,-976027}
{-43469,684140}
{249584,-987126}
{127825,-195587}
{-485733,891604}
{-648929,-564629}
{-188397,983172}
{596988,-816342}
{423919,-603088}
{887732,-651206}
{474013,736503}
{-99231,-507056}
{437470,-303172}
{796372,112671}
{-915036,342218}
{232049,-198927}
{950927,-160354}
{607743,12972}
{-968391,-720592}
{-718563,652586}
{-663306,279429}
{-860559,-444446}
{-43440,-806116}
{-463723,-968456}
{325558,-290306}
{-977370,-570554}
{89751,-531881}
{-37292,1345}
{177224,-678775}
{-228373,-850375}
{-428384,65802}
{-698532,-343754}
{200066,-475889}
{974337,160194}
{-856088,-909401}
{395041,-630977}
{228518,-165545}
{951472,728705}
{709409,308960}
{-865763,432030}
{-323773,761764}
{-991361,-399196}
{132532,777826}
{-737841,136837}
{-237054,423250}
{836802,86880}
{-983460,-954150}
{-85553,-433551}
{849597,225936}
{635772,725403}
{933729,-814376}
{-430530,156427}
{-772095,-374609}
{-768631,673605}
{-894328,-119812}
{50932,-907708}
{267176,259984}
{758775,-708250}
{7113,-401071}
{-510837,-660726}
{-655675,-928826}
{-533822,-213395}
{748684,-445030}
{-886570,-737143}
{4879,93692}
{19511,11655}
{843067,501267}
{488723,-673834}
{-715827,-605703}
{-723589,-714798}
{152304,790387}
{-31063,-229617}
{-561654,-836595}
{-643751,-126289}
{779475,396219}
{826548,-449595}
{-191212,829023}
{-392894,387073}
{222146,621070}
{260487,-326150}
{210995,-921806}
{47993,-378561}
{-194149,651164}
{363333,-81571}
{674555,469345}
{-972913,131145}
{-589376,-485266}
{639901,-190502}
{-529658,-742640}
{678901,960618}
{-414480,930747}
{712540,-850857}
{441410,-491542}
{732118,646379}
{-411901,-208354}
{498558,-939696}
{-29663,-642866}
{322034,-100114}
{-215263,-551326}
{80176,-870396}
{759384,972907}
{503123,849994}
{-787928,3823}
{494203,-833200}
{-144352,750931}
{-598047,-239900}
{918904,296611}
{-711908,557664}
{47442,518291}
{186853,984089}
{463630,298264}
{-931431,481700}
{-644528,60669}
{-120673,-92883}
{610294,-557155}
{75000,-830492}
{-163887,191508}
{754065,-362519}
{682008,-694028}
{829245,726221}
{-445356,234846}
{605958,-124104}
{-235723,56952}
{-314576,-470166}
{-273225,347702}
{-355769,281984}
{408002,-169715}
{-188737,229518}
{201324,-237120}
{829092,-542032}
{560982,412538}
{-41927,872520}
{-581376,379441}
{485940,493421}
{155935,-168186}
{-596070,-534263}
{899067,641674}
{651106,-311473}
{-819690,124643}
{-643713,-695268}
{-254382,680732}
{254633,-152762}
{-874288,-792240}
{-237152,-304750}
{616385,-382877}
{648630,-516577}
{936860,-848435}
{156882,324159}
{-136910,-188585}
{697543,-320612}
{180796,79187}
{-957854,-591166}
{330361,397228}
{-186891,484308}
{-592024,-741321}
{-876445,-197170}
{-588870,923398}
{245602,-895242}
{875361,881346}
{358366,962951}
{-965054,-704717}
{-792483,-794195}
{40266,-170411}
{119494,967064}
{-271836,31774}
{-134470,-980836}
{419944,-880044}
{853191,22535}
{-203172,488688}
{-953275,-417159}
{-336896,947250}
{992151,201752}
{323274,818424}
{197542,-504574}
{-179938,-951295}
{746110,-369872}
{256579,981935}
{-178440,721894}
{23663,-8725}
{-101955,-316799}
{999503,-401473}
{-452980,-851530}
{-809163,184545}
{813652,23053}
{-449975,-798583}
{441080,180750}
{226618,-517556}
{955451,-753803}
{-488076,-670497}
{-579821,573973}
{-361848,944255}
{349934,-282728}
{9294,-946824}
{-638786,-952117}
{354047,-193977}
{-822526,-782950}
{-140053,770156}
{-493972,-627356}
{139644,68318}
{-575917,-807987}
{469357,72583}
{919382,973547}
{531370,-619924}
{152301,-701495}
{-856321,49226}
{334277,-243111}
{766691,481999}
{699476,483316}
{563294,-313973}
{617598,793102}
{492041,-21362}
{815900,-973695}
{194507,59510}
{218001,521206}
{169550,882798}
{811690,74856}
{440513,-894658}
{-194848,725578}
{100784,-886730}
{988298,-107402}
{920344,748588}
{25033,-160035}
{-309997,100607}
{927447,533668}
{82791,944569}
{116084,520027}
{-935587,-652052}
{785679,-143686}
{-963366,362866}
{717566,-701481}
{565734,-186247}
{496050,379638}
{666740,-893480}
{31352,36691}
{-338761,-409321}
{-966696,348961}
{-779,-918460}
{-234728,264407}
{-422028,-330641}
{207569,-15419}
{71484,-694132}
